time	bas_active	bas_inactive	bas_ref	bis_active	bis_inactive	bis_ref	ec_active	ec_inactive	ec_ref	ex_active	ex_inactive	ex_ref	ext_active	ext_inactive	ext_ref	hipp_active	hipp_inactive	hipp_ref	in_active	in_inactive	in_ref	ps_active	ps_inactive	ps_ref	septum_active	septum_inactive	septum_ref	
144	0.02	0.47	0.51	0	0.94	0.06	0.29	0.71	0	0.01	0.99	0	0.03	0.97	0	0	1	0	0	0.85	0.15	0.39	0.61	0	0	0.01	0.99	
145	0.01	0.55	0.44	0	0.96	0.04	0.89	0.11	0	0	0.99	0.01	0.11	0.89	0	0	1	0	0.01	0.87	0.12	0.86	0.14	0	0	0.01	0.99	
146	0	0.64	0.36	0.01	0.95	0.04	0.9	0.1	0	0	0.99	0.01	0.91	0.09	0	0	1	0	0	0.92	0.08	0.27	0.73	0	0	0.01	0.99	
147	0	0.7	0.3	0	0.98	0.02	0.89	0.11	0	0	0.99	0.01	0.6	0.4	0	0	1	0	0.02	0.92	0.06	0.42	0.58	0	0.01	0.01	0.98	
148	0.01	0.7	0.29	0	0.98	0.02	0.99	0.01	0	0.01	0.98	0.01	0.01	0.99	0	0	1	0	0	0.92	0.08	0.69	0.31	0	0.01	0.01	0.98	
149	0.01	0.74	0.25	0	0.99	0.01	0.64	0.36	0	0.02	0.96	0.02	0.39	0.61	0	0	1	0	0	0.94	0.06	0.74	0.26	0	0	0.01	0.99	
150	0.02	0.72	0.26	0	0.99	0.01	0.13	0.87	0	0.1	0.86	0.04	0.45	0.55	0	0	1	0	0.01	0.93	0.06	0.9	0.1	0	0	0.01	0.99	
151	0	0.74	0.26	0.01	0.98	0.01	0.27	0.73	0	0.07	0.79	0.14	0.8	0.2	0	0	1	0	0	0.94	0.06	0.92	0.08	0	0	0.01	0.99	
152	0	0.74	0.26	0	0.98	0.02	0.64	0.36	0	0.06	0.73	0.21	0.4	0.6	0	0	1	0	0	0.95	0.05	0.49	0.51	0	0	0.01	0.99	
153	0.01	0.79	0.2	0	0.98	0.02	0.89	0.11	0	0.1	0.63	0.27	0.84	0.16	0	0	1	0	0	0.95	0.05	0.59	0.41	0	0	0.01	0.99	
154	0.11	0.81	0.08	0	0.98	0.02	0.53	0.47	0	0.08	0.55	0.37	0.79	0.21	0	0	1	0	0.01	0.95	0.04	0.99	0.01	0	0.03	0.01	0.96	
155	0.02	0.81	0.17	0	0.98	0.02	0.07	0.93	0	0.05	0.5	0.45	0.2	0.8	0	0	1	0	0	0.95	0.05	0.72	0.28	0	0	0.01	0.99	
156	0.01	0.81	0.18	0.01	0.97	0.02	0.86	0.14	0	0.11	0.39	0.5	0.55	0.45	0	0	1	0	0.01	0.95	0.04	0.62	0.38	0	0.02	0.01	0.97	
157	0.01	0.8	0.19	0	0.98	0.02	0.72	0.28	0	0.02	0.37	0.61	0.07	0.93	0	0	1	0	0	0.95	0.05	0.94	0.06	0	0.08	0.01	0.91	
158	0	0.8	0.2	0	0.98	0.02	0.6	0.4	0	0.06	0.31	0.63	0.55	0.45	0	0	1	0	0.01	0.96	0.03	0.51	0.49	0	0.01	0.01	0.98	
159	0.01	0.8	0.19	0	0.98	0.02	0.2	0.8	0	0.02	0.29	0.69	0.98	0.02	0	0	1	0	0	0.96	0.04	0.34	0.66	0	0.09	0.01	0.9	
160	0.01	0.8	0.19	0	0.98	0.02	0.79	0.21	0	0.03	0.26	0.71	0.44	0.56	0	0	1	0	0	0.96	0.04	0.95	0.05	0	0.09	0.01	0.9	
161	0.01	0.81	0.18	0.01	0.97	0.02	0.15	0.85	0	0.01	0.26	0.73	0.67	0.33	0	0.01	0.99	0	0.01	0.96	0.03	0.13	0.87	0	0.08	0.02	0.9	
162	0	0.81	0.19	0	0.98	0.02	0.35	0.65	0	0.01	0.25	0.74	0.2	0.8	0	0.03	0.96	0.01	0	0.96	0.04	0.49	0.51	0	0.12	0.01	0.87	
163	0	0.81	0.19	0	0.98	0.02	0.11	0.89	0	0.04	0.21	0.75	0.46	0.54	0	0.05	0.91	0.04	0	0.96	0.04	0.94	0.06	0	0.11	0.03	0.86	
164	0	0.82	0.18	0	0.98	0.02	0.17	0.83	0	0.03	0.18	0.79	0.82	0.18	0	0.07	0.84	0.09	0	0.96	0.04	0.1	0.9	0	0	0.08	0.92	
165	0.09	0.84	0.07	0	0.98	0.02	0.03	0.97	0	0.02	0.17	0.81	0.33	0.67	0	0.02	0.82	0.16	0.01	0.96	0.03	0.12	0.88	0	0.08	0.08	0.84	
166	0.01	0.85	0.14	0.02	0.96	0.02	0.12	0.88	0	0.02	0.17	0.81	0.95	0.05	0	0.09	0.73	0.18	0	0.96	0.04	0.37	0.63	0	0.09	0.06	0.85	
167	0.07	0.79	0.14	0	0.97	0.03	0.87	0.13	0	0.12	0.15	0.73	0.22	0.78	0	0.08	0.65	0.27	0.01	0.96	0.03	0.3	0.7	0	0.01	0.05	0.94	
168	0.01	0.79	0.2	0.01	0.96	0.03	0.55	0.45	0	0.08	0.14	0.78	0.81	0.19	0	0.17	0.48	0.35	0	0.96	0.04	0.08	0.92	0	0.03	0.1	0.87	
169	0	0.79	0.21	0	0.96	0.04	0.31	0.69	0	0.06	0.14	0.8	0.21	0.79	0	0.1	0.38	0.52	0.01	0.96	0.03	0.71	0.29	0	0.03	0.1	0.87	
170	0.01	0.79	0.2	0	0.96	0.04	0.23	0.77	0	0.1	0.14	0.76	0.67	0.33	0	0.04	0.34	0.62	0	0.96	0.04	0.88	0.12	0	0.02	0.08	0.9	
171	0.03	0.77	0.2	0	0.96	0.04	0.58	0.42	0	0.09	0.13	0.78	0.8	0.2	0	0.05	0.29	0.66	0	0.96	0.04	0.41	0.59	0	0	0.08	0.92	
172	0.02	0.76	0.22	0.01	0.96	0.03	0.94	0.06	0	0.05	0.13	0.82	0.78	0.22	0	0.11	0.19	0.7	0.01	0.96	0.03	0.94	0.06	0	0	0.08	0.92	
173	0	0.76	0.24	0	0.96	0.04	0.76	0.24	0	0.1	0.14	0.76	0.83	0.17	0	0.01	0.21	0.78	0	0.96	0.04	0.27	0.73	0	0.01	0.08	0.91	
174	0.01	0.75	0.24	0	0.96	0.04	0.85	0.15	0	0.02	0.14	0.84	0.43	0.57	0	0.03	0.23	0.74	0	0.96	0.04	0.58	0.42	0	0	0.08	0.92	
175	0	0.75	0.25	0.01	0.95	0.04	0.41	0.59	0	0.05	0.15	0.8	0.87	0.13	0	0.05	0.25	0.7	0	0.96	0.04	0.99	0.01	0	0	0.08	0.92	
176	0.1	0.74	0.16	0	0.95	0.05	0.2	0.8	0	0.03	0.14	0.83	0.16	0.84	0	0.01	0.26	0.73	0.01	0.96	0.03	0.17	0.83	0	0	0.08	0.92	
177	0	0.75	0.25	0.01	0.96	0.03	0.1	0.9	0	0.01	0.16	0.83	0.06	0.94	0	0.01	0.34	0.65	0	0.96	0.04	0.39	0.61	0	0	0.08	0.92	
178	0.08	0.74	0.18	0.01	0.95	0.04	0.84	0.16	0	0.02	0.15	0.83	0.95	0.05	0	0.18	0.24	0.58	0.01	0.96	0.03	0.75	0.25	0	0.01	0.08	0.91	
179	0	0.75	0.25	0.01	0.95	0.04	0.59	0.41	0	0.01	0.15	0.84	0.9	0.1	0	0.08	0.33	0.59	0	0.96	0.04	0.33	0.67	0	0	0.09	0.91	
180	0	0.75	0.25	0	0.95	0.05	0.79	0.21	0	0.01	0.18	0.81	0.51	0.49	0	0.06	0.37	0.57	0.01	0.96	0.03	0.39	0.61	0	0	0.09	0.91	
181	0.01	0.75	0.24	0	0.95	0.05	0.41	0.59	0	0.02	0.19	0.79	0.3	0.7	0	0.06	0.35	0.59	0	0.96	0.04	0.91	0.09	0	0	0.09	0.91	
182	0.03	0.75	0.22	0	0.95	0.05	0.02	0.98	0	0.02	0.19	0.79	0.91	0.09	0	0.1	0.3	0.6	0	0.96	0.04	0.3	0.7	0	0	0.09	0.91	
183	0.01	0.76	0.23	0.01	0.95	0.04	0.45	0.55	0	0.02	0.19	0.79	0.96	0.04	0	0.12	0.29	0.59	0.01	0.96	0.03	0.46	0.54	0	0	0.09	0.91	
184	0.01	0.75	0.24	0	0.95	0.05	0.42	0.58	0	0.11	0.2	0.69	0.86	0.14	0	0.03	0.27	0.7	0	0.96	0.04	0.39	0.61	0	0	0.09	0.91	
185	0.01	0.75	0.24	0	0.95	0.05	0.18	0.82	0	0.07	0.21	0.72	0.72	0.28	0	0.12	0.18	0.7	0	0.96	0.04	0.75	0.25	0	0	0.12	0.88	
186	0	0.75	0.25	0.01	0.95	0.04	0.74	0.26	0	0.06	0.21	0.73	0.46	0.54	0	0.06	0.17	0.77	0	0.96	0.04	0.57	0.43	0	0	0.12	0.88	
187	0.09	0.76	0.15	0	0.95	0.05	0.64	0.36	0	0.1	0.21	0.69	0.5	0.5	0	0.05	0.13	0.82	0.01	0.96	0.03	0.86	0.14	0	0	0.14	0.86	
188	0.03	0.73	0.24	0.01	0.95	0.04	0.32	0.68	0	0.08	0.22	0.7	0.61	0.39	0	0.02	0.12	0.86	0	0.96	0.04	0.85	0.15	0	0.04	0.18	0.78	
189	0.08	0.73	0.19	0	0.96	0.04	0.64	0.36	0	0.06	0.21	0.73	0.95	0.05	0	0.03	0.27	0.7	0.01	0.96	0.03	0.3	0.7	0	0	0.19	0.81	
190	0.01	0.72	0.27	0.01	0.96	0.03	0.17	0.83	0	0.11	0.2	0.69	0.8	0.2	0	0.06	0.29	0.65	0	0.96	0.04	0.83	0.17	0	0	0.28	0.72	
191	0	0.72	0.28	0	0.96	0.04	0.07	0.93	0	0.02	0.2	0.78	0.58	0.42	0	0.06	0.29	0.65	0.02	0.95	0.03	0.77	0.23	0	0	0.37	0.63	
192	0.01	0.72	0.27	0	0.96	0.04	0.83	0.17	0	0.04	0.21	0.75	0.93	0.07	0	0.03	0.32	0.65	0	0.95	0.05	0.67	0.33	0	0.01	0.44	0.55	
193	0.03	0.72	0.25	0	0.96	0.04	0.08	0.92	0	0.02	0.22	0.76	0.49	0.51	0	0.05	0.37	0.58	0	0.95	0.05	0.78	0.22	0	0	0.56	0.44	
194	0.03	0.7	0.27	0.01	0.96	0.03	0.93	0.07	0	0.01	0.22	0.77	0.96	0.04	0	0.14	0.35	0.51	0.01	0.95	0.04	0.67	0.33	0	0	0.67	0.33	
195	0.01	0.7	0.29	0	0.96	0.04	0.75	0.25	0	0.02	0.22	0.76	0.97	0.03	0	0.03	0.35	0.62	0	0.95	0.05	0.1	0.9	0	0	0.67	0.33	
196	0.01	0.7	0.29	0.01	0.95	0.04	0.02	0.98	0	0.01	0.22	0.77	0.61	0.39	0	0.13	0.34	0.53	0	0.95	0.05	0.01	0.99	0	0	0.75	0.25	
197	0	0.7	0.3	0.01	0.95	0.04	0.51	0.49	0	0	0.23	0.77	0.35	0.65	0	0.08	0.32	0.6	0	0.95	0.05	0.62	0.38	0	0	0.84	0.16	
198	0.09	0.7	0.21	0	0.95	0.05	0.18	0.82	0	0.04	0.21	0.75	0.34	0.66	0	0.05	0.32	0.63	0.02	0.94	0.04	0.61	0.39	0	0	0.85	0.15	
199	0.03	0.7	0.27	0.01	0.95	0.04	0.59	0.41	0	0.04	0.19	0.77	0.2	0.8	0	0.09	0.25	0.66	0	0.94	0.06	0.44	0.56	0	0	0.88	0.12	
200	0.08	0.7	0.22	0	0.95	0.05	0.2	0.8	0	0.02	0.19	0.79	0.29	0.71	0	0.08	0.2	0.72	0.01	0.94	0.05	0.6	0.4	0	0	0.91	0.09	
201	0	0.71	0.29	0.01	0.95	0.04	0.11	0.89	0	0.09	0.21	0.7	0.28	0.72	0	0.05	0.21	0.74	0	0.94	0.06	0.95	0.05	0	0	0.93	0.07	
202	0.01	0.7	0.29	0.01	0.94	0.05	0.25	0.75	0	0.08	0.2	0.72	0.84	0.16	0	0.05	0.22	0.73	0.02	0.94	0.04	0.52	0.48	0	0	0.93	0.07	
203	0.01	0.7	0.29	0	0.94	0.06	0.14	0.86	0	0.06	0.2	0.74	0.65	0.35	0	0.04	0.21	0.75	0	0.94	0.06	0.5	0.5	0	0	0.93	0.07	
204	0.01	0.72	0.27	0	0.94	0.06	0.39	0.61	0	0.1	0.2	0.7	0.27	0.73	0	0.08	0.18	0.74	0	0.94	0.06	0.49	0.51	0	0	0.94	0.06	
205	0	0.75	0.25	0.01	0.94	0.05	0.12	0.88	0	0.07	0.21	0.72	0.28	0.72	0	0.07	0.25	0.68	0.01	0.94	0.05	0.39	0.61	0	0	0.94	0.06	
206	0.07	0.69	0.24	0	0.94	0.06	0.91	0.09	0	0.06	0.21	0.73	0.83	0.17	0	0.04	0.24	0.72	0	0.94	0.06	0.16	0.84	0	0	0.94	0.06	
207	0	0.7	0.3	0	0.95	0.05	0.42	0.58	0	0.08	0.24	0.68	0.96	0.04	0	0.08	0.29	0.63	0	0.94	0.06	0.67	0.33	0	0	0.94	0.06	
208	0	0.7	0.3	0.01	0.95	0.04	0.17	0.83	0	0.02	0.24	0.74	0.71	0.29	0	0.07	0.3	0.63	0	0.94	0.06	0.64	0.36	0	0	0.94	0.06	
209	0.09	0.7	0.21	0	0.95	0.05	0.86	0.14	0	0.03	0.25	0.72	0.29	0.71	0	0	0.35	0.65	0.02	0.94	0.04	0.59	0.41	0	0	0.95	0.05	
210	0.04	0.69	0.27	0.01	0.95	0.04	0.13	0.87	0	0.02	0.25	0.73	0.64	0.36	0	0.01	0.43	0.56	0	0.94	0.06	0.81	0.19	0	0	0.95	0.05	
211	0.09	0.68	0.23	0	0.95	0.05	0.52	0.48	0	0.01	0.25	0.74	0.82	0.18	0	0.03	0.48	0.49	0.01	0.94	0.05	0.47	0.53	0	0	0.95	0.05	
212	0.01	0.67	0.32	0.01	0.95	0.04	0.95	0.05	0	0.02	0.25	0.73	0.33	0.67	0	0.13	0.4	0.47	0	0.94	0.06	0.95	0.05	0	0	0.95	0.05	
213	0.05	0.63	0.32	0.01	0.95	0.04	0.3	0.7	0	0	0.26	0.74	0.17	0.83	0	0.06	0.39	0.55	0.02	0.94	0.04	0.99	0.01	0	0	0.95	0.05	
214	0.06	0.58	0.36	0.01	0.94	0.05	0.48	0.52	0	0	0.26	0.74	0.45	0.55	0	0.06	0.37	0.57	0	0.94	0.06	0.42	0.58	0	0	0.95	0.05	
215	0.04	0.55	0.41	0	0.94	0.06	0.08	0.92	0	0.02	0.28	0.7	0.96	0.04	0	0.06	0.39	0.55	0.01	0.93	0.06	0.08	0.92	0	0	0.95	0.05	
216	0.08	0.47	0.45	0.05	0.9	0.05	0.65	0.35	0	0.02	0.3	0.68	0.55	0.45	0	0.14	0.32	0.54	0.02	0.92	0.06	0.85	0.15	0	0	0.95	0.05	
217	0.11	0.43	0.46	0.03	0.87	0.1	0.19	0.81	0	0.02	0.3	0.68	0.25	0.75	0	0.08	0.28	0.64	0	0.92	0.08	0.4	0.6	0	0	0.95	0.05	
218	0.03	0.4	0.57	0.02	0.85	0.13	0.11	0.89	0	0.08	0.31	0.61	0.34	0.66	0	0.11	0.25	0.64	0.01	0.91	0.08	0.58	0.42	0	0	0.95	0.05	
219	0.07	0.33	0.6	0.1	0.76	0.14	0.14	0.86	0	0.03	0.36	0.61	0.62	0.38	0	0.09	0.23	0.68	0.05	0.86	0.09	0.67	0.33	0	0.03	0.96	0.01	
220	0.13	0.29	0.58	0.02	0.74	0.24	0.03	0.97	0	0.06	0.36	0.58	0.52	0.48	0	0.05	0.18	0.77	0.04	0.84	0.12	0.72	0.28	0	0.01	0.95	0.04	
221	0.04	0.29	0.67	0.03	0.72	0.25	0.21	0.79	0	0.01	0.45	0.54	0.16	0.84	0	0.01	0.18	0.81	0.01	0.83	0.16	0.41	0.59	0	0	0.95	0.05	
222	0.15	0.23	0.62	0.08	0.64	0.28	0.38	0.62	0	0.01	0.51	0.48	0.12	0.88	0	0.04	0.17	0.79	0.06	0.78	0.16	0.21	0.79	0	0	0.95	0.05	
223	0.1	0.14	0.76	0.03	0.62	0.35	0.55	0.45	0	0.04	0.53	0.43	0.64	0.36	0	0.05	0.25	0.7	0.1	0.68	0.22	0.07	0.93	0	0	0.96	0.04	
224	0.07	0.12	0.81	0.04	0.59	0.37	0.09	0.91	0	0	0.61	0.39	0.49	0.51	0	0.03	0.28	0.69	0.12	0.58	0.3	0.64	0.36	0	0	0.96	0.04	
225	0.05	0.13	0.82	0.03	0.57	0.4	0.37	0.63	0	0.01	0.62	0.37	0.69	0.31	0	0.06	0.28	0.66	0.07	0.51	0.42	0.34	0.66	0	0	0.96	0.04	
226	0.09	0.08	0.83	0.04	0.53	0.43	0.04	0.96	0	0	0.65	0.35	0.98	0.02	0	0.01	0.33	0.66	0.07	0.45	0.48	0.14	0.86	0	0	0.96	0.04	
227	0.11	0.05	0.84	0.12	0.46	0.42	0.51	0.49	0	0	0.67	0.33	0.5	0.5	0	0	0.47	0.53	0.1	0.37	0.53	0.59	0.41	0	0	0.96	0.04	
228	0.14	0.02	0.84	0.05	0.44	0.51	0.97	0.03	0	0	0.68	0.32	0.8	0.2	0	0.06	0.49	0.45	0.08	0.29	0.63	0.92	0.08	0	0	0.96	0.04	
229	0.04	0.01	0.95	0.06	0.4	0.54	0.68	0.32	0	0	0.7	0.3	0.38	0.62	0	0	0.6	0.4	0.06	0.24	0.7	0.31	0.69	0	0	0.96	0.04	
230	0.07	0.01	0.92	0.07	0.43	0.5	1	0	0	0	0.7	0.3	0.11	0.89	0	0.03	0.66	0.31	0.06	0.23	0.71	0.68	0.32	0	0	0.96	0.04	
231	0.13	0.01	0.86	0.02	0.43	0.55	0.96	0.04	0	0	0.7	0.3	0.15	0.85	0	0.03	0.68	0.29	0.04	0.23	0.73	0.55	0.45	0	0	0.96	0.04	
232	0.05	0	0.95	0.05	0.41	0.54	0.32	0.68	0	0	0.72	0.28	0.97	0.03	0	0.04	0.65	0.31	0.05	0.19	0.76	0.05	0.95	0	0	0.96	0.04	
233	0.15	0	0.85	0.06	0.43	0.51	0.52	0.48	0	0	0.74	0.26	0.41	0.59	0	0.07	0.62	0.31	0.06	0.19	0.75	0.39	0.61	0	0	0.96	0.04	
234	0.09	0.01	0.9	0.03	0.43	0.54	0.86	0.14	0	0	0.76	0.24	0.53	0.47	0	0.03	0.64	0.33	0.1	0.19	0.71	0.61	0.39	0	0	0.96	0.04	
235	0.07	0.01	0.92	0.03	0.44	0.53	0.71	0.29	0	0	0.84	0.16	0.73	0.27	0	0.06	0.61	0.33	0.12	0.19	0.69	0.86	0.14	0	0	0.96	0.04	
236	0.04	0.02	0.94	0.02	0.45	0.53	0.06	0.94	0	0	0.87	0.13	0.1	0.9	0	0.03	0.64	0.33	0.03	0.23	0.74	0.92	0.08	0	0	0.96	0.04	
237	0.09	0.02	0.89	0.02	0.47	0.51	0.38	0.62	0	0	0.93	0.07	0.51	0.49	0	0.03	0.62	0.35	0.11	0.19	0.7	0.38	0.62	0	0	0.96	0.04	
238	0.1	0.03	0.87	0.06	0.53	0.41	0.35	0.65	0	0	0.94	0.06	0.44	0.56	0	0	0.62	0.38	0.08	0.21	0.71	0.25	0.75	0	0	0.96	0.04	
239	0.15	0.02	0.83	0.06	0.52	0.42	0.5	0.5	0	0	0.95	0.05	0.82	0.18	0	0	0.68	0.32	0.09	0.2	0.71	0.77	0.23	0	0	0.96	0.04	
240	0.04	0.02	0.94	0.05	0.53	0.42	0.37	0.63	0	0	0.99	0.01	0.08	0.92	0	0	0.68	0.32	0.05	0.21	0.74	0.24	0.76	0	0	0.96	0.04	
241	0.08	0.01	0.91	0.07	0.53	0.4	0.84	0.16	0	0	0.99	0.01	0.9	0.1	0	0	0.71	0.29	0.11	0.16	0.73	0.68	0.32	0	0	0.96	0.04	
242	0.12	0.02	0.86	0.02	0.53	0.45	0.07	0.93	0	0	1	0	0.24	0.76	0	0	0.74	0.26	0.04	0.16	0.8	0.51	0.49	0	0	0.96	0.04	
243	0.06	0.01	0.93	0.05	0.53	0.42	0.19	0.81	0	0	1	0	0.89	0.11	0	0	0.78	0.22	0.05	0.16	0.79	0.27	0.73	0	0	0.96	0.04	
244	0.15	0.01	0.84	0.03	0.56	0.41	0.66	0.34	0	0	1	0	0.07	0.93	0	0	0.85	0.15	0.05	0.17	0.78	0.73	0.27	0	0	0.96	0.04	
245	0.09	0.01	0.9	0.05	0.54	0.41	0.17	0.83	0	0	1	0	0.88	0.12	0	0	0.88	0.12	0.11	0.16	0.73	0.3	0.7	0	0	0.96	0.04	
246	0.07	0.01	0.92	0.01	0.56	0.43	0.11	0.89	0	0	1	0	0.89	0.11	0	0	0.94	0.06	0.12	0.16	0.72	0.65	0.35	0	0	0.96	0.04	
247	0.04	0.01	0.95	0.02	0.56	0.42	0.56	0.44	0	0	1	0	0.29	0.71	0	0	0.97	0.03	0.03	0.16	0.81	0.9	0.1	0	0	0.96	0.04	
248	0.09	0.01	0.9	0	0.58	0.42	0.97	0.03	0	0	1	0	0.85	0.15	0	0	1	0	0.11	0.16	0.73	0.29	0.71	0	0	0.96	0.04	
249	0.1	0.01	0.89	0.05	0.59	0.36	0.96	0.04	0	0	1	0	0.52	0.48	0	0	1	0	0.08	0.16	0.76	0.96	0.04	0	0	0.96	0.04	
250	0.15	0.01	0.84	0.05	0.6	0.35	0.96	0.04	0	0	1	0	0.34	0.66	0	0	1	0	0.09	0.16	0.75	0.99	0.01	0	0.03	0.96	0.01	
251	0.04	0.01	0.95	0.04	0.61	0.35	0.87	0.13	0	0	1	0	0.65	0.35	0	0	1	0	0.05	0.16	0.79	0.77	0.23	0	0.01	0.96	0.03	
252	0.08	0.01	0.91	0.07	0.61	0.32	0.47	0.53	0	0	1	0	0.76	0.24	0	0	1	0	0.11	0.16	0.73	0.32	0.68	0	0	0.96	0.04	
253	0.12	0.01	0.87	0.02	0.61	0.37	0.28	0.72	0	0	1	0	0.98	0.02	0	0	1	0	0.04	0.16	0.8	0.57	0.43	0	0	0.96	0.04	
254	0.06	0.01	0.93	0.06	0.6	0.34	0.34	0.66	0	0	1	0	0.19	0.81	0	0	1	0	0.06	0.15	0.79	0.41	0.59	0	0	0.96	0.04	
255	0.16	0	0.84	0.02	0.61	0.37	0.85	0.15	0	0	1	0	0.1	0.9	0	0	1	0	0.03	0.17	0.8	0.47	0.53	0	0.03	0.93	0.04	
256	0.09	0	0.91	0.06	0.6	0.34	0.78	0.22	0	0	1	0	0.1	0.9	0	0	1	0	0.1	0.18	0.72	0.94	0.06	0	0	0.93	0.07	
257	0.07	0	0.93	0.01	0.6	0.39	0.4	0.6	0	0	1	0	0.04	0.96	0	0	1	0	0.1	0.2	0.7	0.81	0.19	0	0	0.93	0.07	
258	0.04	0	0.96	0.02	0.6	0.38	0.39	0.61	0	0	1	0	0.55	0.45	0	0	1	0	0.05	0.18	0.77	0.54	0.46	0	0	0.93	0.07	
259	0.09	0	0.91	0	0.6	0.4	0.48	0.52	0	0	1	0	0.89	0.11	0	0	1	0	0.14	0.15	0.71	0.86	0.14	0	0	0.93	0.07	
260	0.1	0	0.9	0.05	0.6	0.35	0.34	0.66	0	0	1	0	0.79	0.21	0	0	1	0	0.08	0.15	0.77	0.87	0.13	0	0.01	0.92	0.07	
261	0.15	0	0.85	0.05	0.6	0.35	0.06	0.94	0	0	1	0	0.23	0.77	0	0	1	0	0.09	0.15	0.76	0.72	0.28	0	0	0.92	0.08	
262	0.04	0	0.96	0.04	0.6	0.36	0.99	0.01	0	0	1	0	0.48	0.52	0	0	1	0	0.05	0.15	0.8	0.16	0.84	0	0	0.92	0.08	
263	0.08	0	0.92	0.07	0.6	0.33	0.21	0.79	0	0	1	0	0.52	0.48	0	0	1	0	0.11	0.15	0.74	0.59	0.41	0	0	0.92	0.08	
264	0.12	0	0.88	0.02	0.6	0.38	0.62	0.38	0	0	1	0	0.37	0.63	0	0	1	0	0.04	0.15	0.81	0.11	0.89	0	0	0.92	0.08	
265	0.06	0	0.94	0.04	0.62	0.34	0.1	0.9	0	0	1	0	0.13	0.87	0	0	1	0	0.03	0.18	0.79	0.64	0.36	0	0	0.92	0.08	
266	0.16	0	0.84	0.03	0.61	0.36	0.27	0.73	0	0	1	0	0.56	0.44	0	0	1	0	0.06	0.15	0.79	0.11	0.89	0	0	0.92	0.08	
267	0.09	0	0.91	0.05	0.62	0.33	0.2	0.8	0	0	1	0	0.87	0.13	0	0	1	0	0.09	0.16	0.75	0.37	0.63	0	0	0.92	0.08	
268	0.07	0	0.93	0.02	0.61	0.37	0.81	0.19	0	0	1	0	0.88	0.12	0	0	1	0	0.1	0.16	0.74	0.7	0.3	0	0.01	0.91	0.08	
269	0.04	0	0.96	0.02	0.61	0.37	0.77	0.23	0	0	1	0	0.23	0.77	0	0	1	0	0.05	0.16	0.79	0.24	0.76	0	0	0.91	0.09	
270	0.09	0	0.91	0	0.61	0.39	0.66	0.34	0	0	1	0	0.52	0.48	0	0	1	0	0.14	0.16	0.7	0.09	0.91	0	0	0.91	0.09	
271	0.1	0	0.9	0.03	0.63	0.34	0.98	0.02	0	0	1	0	0.19	0.81	0	0	1	0	0.07	0.17	0.76	0.37	0.63	0	0.02	0.89	0.09	
272	0.15	0	0.85	0.06	0.62	0.32	0.78	0.22	0	0	1	0	0.73	0.27	0	0	1	0	0.09	0.17	0.74	0.13	0.87	0	0	0.89	0.11	
273	0.04	0	0.96	0.04	0.62	0.34	0.68	0.32	0	0	1	0	0.86	0.14	0	0	1	0	0.05	0.17	0.78	0.03	0.97	0	0	0.89	0.11	
274	0.07	0.01	0.92	0.06	0.63	0.31	0.98	0.02	0	0	1	0	0.03	0.97	0	0	1	0	0.03	0.25	0.72	0.4	0.6	0	0	0.89	0.11	
275	0.12	0.01	0.87	0.02	0.63	0.35	0.05	0.95	0	0	1	0	0.86	0.14	0	0	1	0	0.07	0.22	0.71	0.07	0.93	0	0.04	0.85	0.11	
276	0.05	0.02	0.93	0.04	0.63	0.33	0.47	0.53	0	0	1	0	0.99	0.01	0	0	1	0	0.02	0.23	0.75	0.59	0.41	0	0.03	0.82	0.15	
277	0.16	0.02	0.82	0.02	0.64	0.34	0.23	0.77	0	0	1	0	0.37	0.63	0	0	1	0	0.06	0.23	0.71	0.63	0.37	0	0.08	0.74	0.18	
278	0.09	0.02	0.89	0.04	0.65	0.31	0.89	0.11	0	0	1	0	0.72	0.28	0	0	1	0	0.07	0.25	0.68	0.65	0.35	0	0.04	0.7	0.26	
279	0.06	0.03	0.91	0.02	0.65	0.33	0.91	0.09	0	0	1	0	0.82	0.18	0	0	1	0	0.09	0.26	0.65	0.3	0.7	0	0.03	0.67	0.3	
280	0.04	0.03	0.93	0.02	0.65	0.33	0.16	0.84	0	0	1	0	0.94	0.06	0	0	1	0	0.03	0.28	0.69	0.1	0.9	0	0	0.67	0.33	
281	0.07	0.05	0.88	0	0.65	0.35	0.94	0.06	0	0	1	0	0.94	0.06	0	0	1	0	0.13	0.29	0.58	0.24	0.76	0	0.05	0.65	0.3	
282	0.1	0.05	0.85	0.02	0.66	0.32	0.67	0.33	0	0	1	0	0.98	0.02	0	0	1	0	0.06	0.3	0.64	0.45	0.55	0	0.02	0.64	0.34	
283	0.14	0.06	0.8	0.05	0.67	0.28	0.47	0.53	0	0	1	0	0.74	0.26	0	0	1	0	0.06	0.33	0.61	0.56	0.44	0	0.04	0.6	0.36	
284	0.03	0.07	0.9	0.03	0.68	0.29	0.52	0.48	0	0	1	0	0.73	0.27	0	0	1	0	0.04	0.34	0.62	0.14	0.86	0	0.04	0.56	0.4	
285	0.06	0.08	0.86	0.03	0.71	0.26	0.4	0.6	0	0	1	0	0.32	0.68	0	0	1	0	0.02	0.35	0.63	0.75	0.25	0	0.04	0.52	0.44	
